,Active Status,Vendor,Balance,Balance Total,Company,Mr./Ms./...,First Name,M.I.,Last Name,Bill from 1,Bill from 2,Bill from 3,Bill from 4,Bill from 5,Ship from 1,Ship from 2,Ship from 3,Ship from 4,Ship from 5,Primary Contact,Job Title,Main Phone,Fax,Alt. Phone,Secondary Contact
,Active,Luck Chevrolet,0.00,0.00,,,,,,516 S Washington Hwy,PO Box 1597,"Ashland, VA 23005",,,,,,,,,,,,,
,Active,Luck Stone,0.00,0.00,,,,,,Luck Stone,,,,,,,,,,,,,,,
,Active,Luckys,0.00,0.00,,,,,,Luckys,,,,,,,,,,,,,,,
,Active,"M K Watson, Jr Co.",0.00,0.00,,,,,,"M K Watson, Jr Co.",,,,,,,,,,,,,,,
,Active,Mac's Valero,0.00,0.00,,,,,,Mac's Valero,,,,,,,,,,,,,,,
,Active,Marine Parts Source,0.00,0.00,,,,,,Marine Parts Source,,,,,,,,,,,,,,,
,Active,Martin Monroy-,0.00,0.00,,,,,,Martin Monroy-,,,,,,,,,,,,,,,
,Active,Matt Smith,0.00,0.00,Mobile Lawn Repair,,,,,Matt Smith,9399 N Rinker Dr,"Mechanicsville, VA 23116",,,,,,,,,,804-539-4000,,,
,Active,"Mattaponi Turck and Machinery, LLC",0.00,0.00,,,,,,"Mattaponi Turck and Machinery, LLC",,,,,,,,,,,,,,,
,Active,Mazn Studio,0.00,0.00,,,,,,Mazn Studio,11206 Leadbetter Rd,"Ashland, Va 23005",,,,,,,,,,,,,
,Active,McCoy Water Filter Inc.,0.00,0.00,,,,,,McCoy Water Filter Inc.,P.O Box 590,"Sandston, Va 23150",,,,,,,,,,,,,
,Active,Mechanicsville Rental Center,0.00,0.00,,,,,,Mechanicsville Rental Center,,,,,,,,,,,,,,,
,Active,Med first,0.00,0.00,,,,,,Med first,,,,,,,,,,,,,,,
,Active,Mega Office Furniture,0.00,0.00,,,,,,Mega Office Furniture,,,,,,,,,,,,,,,
,Active,Merchant's Tire & Auto Center,0.00,0.00,,,,,,Merchant's Tire & Auto Center,,,,,,,,,,,,,,,
,Active,Microsoft,0.00,0.00,,,,,,Microsoft,,,,,,,,,,,,,,,
,Active,Miller Mart,0.00,0.00,,,,,,Miller Mart,,,,,,,,,,,,,,,
,Active,Millers Energy,0.00,0.00,,,,,,Millers Energy,,,,,,,,,,,,,,,
,Active,Minor's Fences,0.00,0.00,,,,,,Minor's Fences,12174 Washington Hwy,"Ashland, Va 23005",,,,,,,,,,,,,
,Active,Moasure One,0.00,0.00,,,,,,Moasure One,,,,,,,,,,,,,,,
,Active,Money Tree Inc,0.00,0.00,,,,,,Money Tree Inc,,,,,,,,,,,,,,,
,Active,Montgomery Irrigation,0.00,0.00,,,,,,Montgomery Irrigation,7935 Old Jessup Rd.,"Jessup, MD 20794",,,,,,,,,,,,,
,Active,More Than Glass,0.00,0.00,,,,,,More Than Glass,8195 Walnut Grove Rd,"Mechanicsville, VA 23111",804-746-3086,,,,,,,,,,,,
,Active,Motion Trailer Worx,0.00,0.00,,,,,,Motion Trailer Worx,,,,,,,,,,,,,,,
,Active,Mulch Unlimited Inc.,"-41,291.49","41,291.49", John Deere,,,,,Mulch Unlimited Inc.,8369 Richfood Rd,"Mechanicsville, Va 23116",,,,,,,,,,,,,
,Active,Mulch Worx,0.00,0.00,Mulch worx,,,,,Mulch Worx,PO Box 422,"Rockville, VA 23146",,,,,,,,,,8043818814,,,
,Active,Mulchmate USA,0.00,0.00,,,,,,Mulchmate USA,,,,,,,,,,,,,,,
,Active,Napa Auto,0.00,0.00,,,,,,Napa Auto,,,,,,,,,,,,,,,
,Active,National Tank Outlet,0.00,0.00,,,,,,National Tank Outlet,,,,,,,,,,,,,,,
,Active,National Tire & Battery,0.00,0.00,,,,,,National Tire & Battery,,,,,,,,,,,,,,,
,Active,Newmart Builders,0.00,0.00,,,,,,Newmart Builders,,,,,,,,,,,,,,,
,Active,Nolts Power LLC,0.00,0.00,,,,,,Nolts Power LLC,,,,,,,,,,,,,,,
,Active,Northern Tool & Equiptment,0.00,0.00,,,,,,Northern Tool & Equiptment,,,,,,,,,,,,,,,
,Active,Nothern Tool,0.00,0.00,,,,,,Nothern Tool,,,,,,,,,,,,,,,
,Active,O'Reilly Auto Parts,0.00,0.00,,,,,,O'Reilly Auto Parts,,,,,,,,,,,,,,,
,Active,Office Depot,0.00,0.00,,,,,,Office Depot,,,,,,,,,,,,,,,
,Active,Office Max,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
,Active,Oreilly Auto Parts,0.00,0.00,,,,,,Oreilly Auto Parts,,,,,,,,,,,,,,,
,Active,P JS Truck Bodies,0.00,0.00,,,,,,P JS Truck Bodies,,,,,,,,,,,,,,,
,Active,Parts Geek,0.00,0.00,,,,,,Parts Geek,,,,,,,,,,,,,,,
,Active,Parts Pro Direct,0.00,0.00,,,,,,Parts Pro Direct,,,,,,,,,,,,,,,
,Active,PartsMarket,0.00,0.00,,,,,,PartsMarket,,,,,,,,,,,,,,,
,Active,partstree.com,0.00,0.00,,,,,,partstree.com,,,,,,,,,,,,,,,
,Active,Patrick Buick GMC,0.00,0.00,,,,,,Patrick Buick GMC,,,,,,,,,,,,,,,
,Active,Pested,0.00,0.00,,,,,,Pested,,,,,,,,,,,,,,,
,Active,Pete Rose Inc.,297.37,-297.37,Pete Rose Inc,,,,,Pete Rose Inc,p.o. Box 9844,"Richmond, VA 23228",,,,,,,,,,804-288-7436,,,
,Active,Pilot,0.00,0.00,,,,,,Pilot,,,,,,,,,,,,,,,
,Active,Pit Stop,0.00,0.00,,,,,,Pit Stop,,,,,,,,,,,,,,,
,Active,Pleasants Hardware,0.00,0.00,,,,,,Pleasants Hardware,,,,,,,,,,,,,,,
,Active,Please Louise,0.00,0.00,,,,,,Please Louise,,,,,,,,,,,,,,,
,Active,Pocahontas Parkway,0.00,0.00,,,,,,Pocahontas Parkway,,,,,,,,,,,,,,,
,Active,Porch,0.00,0.00,,,,,,Porch,,,,,,,,,,,,,,,
,Active,Power Plan,0.00,0.00,,,,,,Power Plan,,,,,,,,,,,,,,,
,Active,Pressure Works,0.00,0.00,,,,,,Pressure Works,,,,,,,,,,,,,,,
,Active,Pro Parts Direct,0.00,0.00,,,,,,Pro Parts Direct,,,,,,,,,,,,,,,
,Active,Publix,0.00,0.00,,,,,,Publix,,,,,,,,,,,,,,,
,Active,Quality Inn,0.00,0.00,,,,,,Quality Inn,,,,,,,,,,,,,,,
,Active,Quarles Fleet Fueling,0.26,-0.26,,,,,,Quarles Fleet Fueling,,,,,,,,,,,,,,,
,Active,Quarles Petroleum,0.00,0.00,,,,,,Quarles Petroleum,P.O Box 745736,"Atlanta, Ga 30374",,,,,,,,,,,,,
,Active,Quick Books,0.00,0.00,,,,,,Quick Books,,,,,,,,,,,,,,,
,Active,Quick N Easy,0.00,0.00,,,,,,Quick N Easy,,,,,,,,,,,,,,,
,Active,QuickBooks Payroll Service,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
,Active,Raindrop Irrigation,125.00,-125.00,Raindrop Irrigation,,,,,Raindrop Irrigation Inc,9315 Shelton Pointe Dr,"Mechanicsville, Va 23116",,,,,,,,,,,,,
,Active,RBI Corporation,367.71,-367.71,,,,,,RBI Corporation,,,,,,,,,,,,,,,
,Active,realtruck.com,0.00,0.00,,,,,,realtruck.com,,,,,,,,,,,,,,,
,Active,Reddick Equipment Company,0.00,0.00,,,,,,Reddick Equipment Company,,,,,,,,,,,,,,,
,Active,Redmax Parts Direct,0.00,0.00,,,,,,Redmax Parts Direct,,,,,,,,,,,,,,,
,Active,REI,0.00,0.00,,,,,,REI,,,,,,,,,,,,,,,
,Active,Rental Works,0.00,0.00,,,,,,Rental Works,,,,,,,,,,,,,,,
,Active,Repa Auto Inc,0.00,0.00,,,,,,Repa Auto Inc,,,,,,,,,,,,,,,
,Active,Republic Services,0.00,0.00,,,,,,Republic Services,2490 Charles City Rd,"Richmond, Va 23231",,,,,,,,,,,,,
,Active,Residential / Commercial Small Engine,0.00,0.00,,,,,,Residential / Commercial Small Engine,,,,,,,,,,,,,,,
,Active,Rice Tire,0.00,0.00,,,,,,Rice Tire,,,,,,,,,,,,,,,
,Active,Richmond Help Wanted,0.00,0.00,,,,,,Richmond Help Wanted,,,,,,,,,,,,,,,
,Active,Richmond Machinery,0.00,0.00,,,,,,Richmond Machinery,,,,,,,,,,,,,,,
,Active,Richmond Metropolitan Transportation,0.00,0.00,,,,,,Richmond Metropolitan Transportation,,,,,,,,,,,,,,,
,Active,Richmond Suburban News,0.00,0.00,,,,,,Richmond Suburban News,,,,,,,,,,,,,,,
,Active,Rick's Tire & Auto,0.00,0.00,,,,,,Rick's Tire & Auto,,,,,,,,,,,,,,,
,Active,Rico's,0.00,0.00,,,,,,Rico's,,,,,,,,,,,,,,,
,Active,Ridgeview Equipment,0.00,0.00,,,,,,Ridgeview Equipment,12521 James Madison Hwy,"Orange, Va 22960",,,,,,,,,,,,,
,Active,Rite Aid,0.00,0.00,,,,,,Rite Aid,,,,,,,,,,,,,,,
,Active,Riverside Hydraulics,0.00,0.00,,,,,,Riverside Hydraulics,,,,,,,,,,,,,,,
,Active,RND Signs,0.00,0.00,,,,,,RND Signs,,,,,,,,,,,,,,,
,Active,Robinson Wrecker Service,0.00,0.00,,,,,,Robinson Wrecker Service,,,,,,,,,,,,,,,
,Active,Robs Glass Works,0.00,0.00,,,,,,Robs Glass Works,,,,,,,,,,,,,,,
,Active,"Rock Creek Innovations, Inc",0.00,0.00,"Rock Creek Innovations, Inc",,,,,"Rock Creek Innovations, Inc",P.O. Box 306,"Rockville, Va 23146",,,,,,,,,,804-749-8884,,,
,Active,Rowe Fence LLC,0.00,0.00,,,,,,Rowe Fence LLC,,,,,,,,,,,,,,,
,Active,RR Products,0.00,0.00,,,,,,RR Products,,,,,,,,,,,,,,,
,Active,Rush Truck Center,0.00,0.00,,,,,,Rush Truck Center,,,,,,,,,,,,,,,
,Active,Ryan Beck,0.00,0.00,,,,,,Ryan Beck,1135 Buckner Rd,"Bumpass, VA 23024",,,,,,,,,,,,,
,Active,Ryan King,0.00,0.00,,,,,,Ryan King,,,,,,,,,,,,,,,
,Active,Safelite Auto Glass,0.00,0.00,,,,,,Safelite Auto Glass,,,,,,,,,,,,,,,
,Active,Scott Erwin,0.00,0.00,,,,,,Scott Erwin,,,,,,,,,,,,,,,
,Active,Seal This!,0.00,0.00,Seal This!,,,,,Seal This!,11086 Cobbs Rd,"Glen Allen, VA 23059",,,Seal This!,11086 Cobbs Rd,"Glen Allen, VA 23059",,,,,8042481654,,,
,Active,Sedona Taphouse,0.00,0.00,,,,,,Sedona Taphouse,,,,,,,,,,,,,,,
,Active,Seredni Tire,0.00,0.00,,,,,,Seredni Tire,,,,,,,,,,,,,,,
,Active,Service Auto Pilot,0.00,0.00,,,,,,Service Auto Pilot,,,,,,,,,,,,,,,
,Active,Shanks Lawn Equiptment,0.00,0.00,,,,,,Shanks Lawn Equiptment,,,,,,,,,,,,,,,
,Active,Sharky's Tees,0.00,0.00,,,,,,Sharky's Tees,,,,,,,,,,,,,,,
,Active,Sheehy Ashland,0.00,0.00,,,,,,Sheehy Ashland,,,,,,,,,,,,,,,
,Active,sheetz,0.00,0.00,,,,,,sheetz,,,,,,,,,,,,,,,
,Active,Sheffield Financial,111.69,-111.69,Sheffield Financial,,,,,Sheffield Financial,P.O. Box 580229,Charlotte NC 2852-0229,,,,,,,,,,,,,
,Active,Shell,0.00,0.00,,,,,,Shell,,,,,,,,,,,,,,,
,Active,Sherwin Williams,0.00,0.00,,,,,,Sherwin Williams,,,,,,,,,,,,,,,
,Active,Shippers Choice,0.00,0.00,,,,,,Shippers Choice,,,,,,,,,,,,,,,
,Active,Shoosmith Bros Inc,0.00,0.00,,,,,,Shoosmith Bros Inc,P.O Box 2770,"Chesterfield, Va 23832",,,,,,,,,,,,,
,Active,Site One Landscape Supply,"-61,541.15","61,541.15",,,,,,Site One Landscape Supply,11102 Air Park Drive,"Ashland, VA 23005",Local Address,,,,,,,,,,,,
,Active,SLE Equiptment,0.00,0.00,,,,,,SLE Equiptment,,,,,,,,,,,,,,,
,Active,Smileys Glass,0.00,0.00,,,,,,Smileys Glass,,,,,,,,,,,,,,,
,Active,Smith Turf & Irrigation,0.00,0.00,,,,,,Smith Turf & Irrigation,,,,,,,,,,,,,,,
,Active,Soul Farms LLC,0.00,0.00,Soul Farms LLC,,,,,Soul Farms LLC,PO Box 3391,"Mechanicsville, VA 23116",,,,,,,,,,8045146090,,,
,Active,Southern States Coop,"-12,430.59","12,430.59",,,,,,Southern States Coop,,,,,,,,,,,,,,,
,Active,sprayerdepot.com,0.00,0.00,,,,,,sprayerdepot.com,,,,,,,,,,,,,,,
,Active,Spraying Devices Inc,0.00,0.00,,,,,,Spraying Devices Inc,,,,,,,,,,,,,,,
,Active,SRM Concrete,0.00,0.00,,,,,,SRM Concrete,,,,,,,,,,,,,,,
,Active,St Louis Br,0.00,0.00,,,,,,St Louis Bread,,,,,,,,,,,,,,,
,Active,Stamleys Car & Truck,0.00,0.00,,,,,,Stamleys Car & Truck,,,,,,,,,,,,,,,
,Active,Stanley Store,0.00,0.00,,,,,,Stanley Store,,,,,,,,,,,,,,,
,Active,Stanleys Car & Truck,0.00,0.00,,,,,,Stanleys Car & Truck,,,,,,,,,,,,,,,
,Active,Stanleys Car & Truck Repair,0.00,0.00,,,,,,Stanleys Car & Truck Repair,,,,,,,,,,,,,,,
,Active,State Corporation Commision,0.00,0.00,,,,,,State Corporation Commision,,,,,,,,,,,,,,,
,Active,Sti Turf Care,0.00,0.00,,,,,,Sti Turf Care,,,,,,,,,,,,,,,
,Active,Stinger Equipment,0.00,0.00,,,,,,Stinger Equipment,,,,,,,,,,,,,,,
,Active,Subway,0.00,0.00,,,,,,Subway,,,,,,,,,,,,,,,
,Active,Summit Media,0.00,0.00,,,,,,Summit Media,,,,,,,,,,,,,,,
,Active,Sunbelt Rentals,0.00,0.00,,,,,,Sunbelt Rentals,,,,,,,,,,,,,,,
,Active,Sunoco,0.00,0.00,,,,,,Sunoco,,,,,,,,,,,,,,,
,Active,Super Lawn Trucks,0.00,0.00,,,,,,Super Lawn Trucks,,,,,,,,,,,,,,,
,Active,Superior Equpment,0.00,0.00,,,,,,Superior Equpment,,,,,,,,,,,,,,,
,Active,Superior Plus Propane,0.00,0.00,Superior Plus Propane,,,,,Superior Plus Propane,PO BOX 981045,"Boston, MA 02298-1045",,,,,,,,,,8558043835,,,
,Active,Suspension Connextion,0.00,0.00,,,,,,Suspension Connextion,,,,,,,,,,,,,,,
,Active,Sutton & Clark,0.00,0.00,,,,,,Sutton & Clark,,,,,,,,,,,,,,,
,Active,T-Mobile,0.00,0.00,T-Mobile,,,,,T-Mobile,,,,,,,,,,,,,,,
,Active,T J Guthrie,0.00,0.00,,,,,,T J Guthrie,,,,,,,,,,,,,,,
,Active,T Mobile,0.00,0.00,,,,,,T Mobile,,,,,,,,,,,,,,,
,Active,Tank Depot,0.00,0.00,,,,,,Tank Depot,,,,,,,,,,,,,,,
,Active,Target,0.00,0.00,,,,,,Target,,,,,,,,,,,,,,,
,Active,Tarps Direct,0.00,0.00,,,,,,Tarps Direct,,,,,,,,,,,,,,,
,Active,TAX1099,0.00,0.00,,,,,,TAX1099,,,,,,,,,,,,,,,
,Active,TB Flesher Heating & Air,0.00,0.00,,,,,,TB Flesher Heating & Air,,,,,,,,,,,,,,,
,Active,Techatlantis Inc,0.00,0.00,,,,,,Techatlantis Inc,,,,,,,,,,,,,,,
,Active,The Greenhouse,0.00,0.00,,,,,,The Greenhouse,,,,,,,,,,,,,,,
,Active,The Little Clinic,0.00,0.00,,,,,,The Little Clinic,,,,,,,,,,,,,,,
,Active,The UPS Store,0.00,0.00,,,,,,The UPS Store,,,,,,,,,,,,,,,
,Active,The Webstaurant Store,0.00,0.00,,,,,,The Webstaurant Store,,,,,,,,,,,,,,,
,Active,The Wireless Center,0.00,0.00,,,,,,The Wireless Center,,,,,,,,,,,,,,,
,Active,Thurston Spring Service Inc.,0.00,0.00,,,,,,Thurston Spring Service Inc.,,,,,,,,,,,,,,,
,Active,Tipco Technologies I410-356-0003,0.00,0.00,,,,,,Tipco Technologies I410-356-0003,,,,,,,,,,,,,,,
,Active,Tirex Inc,0.00,0.00,,,,,,Tirex Inc,7001 Brook Rd,"Richmond, Va 23227",,,,,,,,,,804-266-3557,,,
,Active,Titan Attachments,0.00,0.00,,,,,,Titan Attachments,,,,,,,,,,,,,,,
,Active,Torres Buildings LLC,0.00,0.00,,,,,,Torres Buildings LLC,,,,,,,,,,,,,,,
,Active,Tractor Supply,0.00,0.00,,,,,,Tractor Supply,,,,,,,,,,,,,,,
,Active,Treasurer Of Virginia,0.00,0.00,,,,,,Treasurer Of Virginia,,,,,,,,,,,,,,,
,Active,Trio Fasteners,0.00,0.00,,,,,,Trio Fasteners,,,,,,,,,,,,,,,
,Active,TrucknTow.com,0.00,0.00,,,,,,TrucknTow.com,,,,,,,,,,,,,,,
,Active,Turf Trade,0.00,0.00,,,,,,Turf Trade,,,,,,,,,,,,,,,
,Active,Tyrice Smith,0.00,0.00,,,,,,Tyrice Smith,,,,,,,,,,,,,,,
,Active,ubreakifix,0.00,0.00,,,,,,ubreakifix,,,,,,,,,,,,,,,
,Active,Ultimate Cycle Powhatan,0.00,0.00,,,,,,Ultimate Cycle Powhatan,,,,,,,,,,,,,,,
,Active,UniFirst Corp,91.40,-91.40,UniFirst Corp,,,,,UniFirst Corp,4300 Castlewood Road,"Richmond, VA23234, VA 23234",USA,,,,,,,,,,,,
,Active,Union Bank & Trust,"-1,249.21","1,249.21",,,,,,Union Bank & Trust,,,,,,,,,,,,,,,
,Active,United Rentals,0.00,0.00,,,,,,United Rentals,,,,,,,,,,,,,,,
,Active,United States Postal Service,0.00,0.00,,,,,,United States Postal Service,,,,,,,,,,,,,,,
,Active,United States Treasury,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
,Active,Universal Hose & Fittings,0.00,0.00,,,,,,Universal Hose & Fittings,,,,,,,,,,,,,,,
,Active,Upper Decks,0.00,0.00,Upper Decks,,,,,Upper Decks,6997 Brooking Way,"Mechanicsville, Va 23111",,,,,,,,,,804-310-7001,,,
,Active,USA ICE,0.00,0.00,,,,,,USA ICE,,,,,,,,,,,,,,,
,Active,USPS,0.00,0.00,,,,,,USPS,,,,,,,,,,,,,,,
,Active,Utlimate Cycle,0.00,0.00,,,,,,Utlimate Cycle,,,,,,,,,,,,,,,
,Active,VA Department of Taxation,0.00,0.00,,,,,,VA Department of Taxation,,,,,,,,,,,,,,,
,Active,Va Truck & Trailer Sales,0.00,0.00,,,,,,Va Truck & Trailer Sales,,,,,,,,,,,,,,,
,Active,Valero,0.00,0.00,,,,,,Valero,,,,,,,,,,,,,,,
,Active,Valley Well Services,0.00,0.00,,,,,,Valley Well Services,,,,,,,,,,,,,,,
,Active,Verizon Wireless,148.93,-148.93,,,,,,Verizon Wireless,,,,,,,,,,,,,,,
,Active,Vevor,0.00,0.00,,,,,,Vevor,,,,,,,,,,,,,,,
,Active,VIRGIIA DEPARTMENT OF TAXATION,0.00,0.00,,,,,,VIRGIIA DEPARTMENT OF TAXATION,,,,,,,,,,,,,,,
,Active,Virginia Cooperative Extension,0.00,0.00,,,,,,Virginia Cooperative Extension,,,,,,,,,,,,,,,
,Active,Virginia Custom Buildings & Play Centers,0.00,0.00,,,,,,Virginia Custom Buildings & Play Centers,,,,,,,,,,,,,,,
,Active,Virginia Department Of Agriculture,0.00,0.00,,,,,,Virginia Department Of Agriculture,,,,,,,,,,,,,,,
,Active,VIRGINIA EMPLOYEMENT COMMISSION,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
,Active,Virginia Mulch Systems Inc,0.00,0.00,,,,,,Virginia Mulch Systems Inc,8302 Christian Ridge Dr,"Mechanicsville, Va 23111",,,,,,,,,,,,,
,Active,Virginia Turfgrass Council,0.00,0.00,,,,,,Virginia Turfgrass Council,,,,,,,,,,,,,,,
,Active,Virginia Wood Processing Inc,0.00,0.00,,,,,,Virginia Wood Processing Inc,,,,,,,,,,,,,,,
,Active,Vistaprint,0.00,0.00,,,,,,Vistaprint,,,,,,,,,,,,,,,
,Active,Wal-Mart,0.00,0.00,,,,,,Wal-Mart,,,,,,,,,,,,,,,
,Active,Walgreens,0.00,0.00,,,,,,Walgreens,,,,,,,,,,,,,,,
,Active,Walmart,0.00,0.00,,,,,,Walmart,,,,,,,,,,,,,,,
,Active,Walmart Fuel,0.00,0.00,,,,,,Walmart Fuel,,,,,,,,,,,,,,,
,Active,Watkins Nursery,0.00,0.00,,,,,,Watkins Nursery,,,,,,,,,,,,,,,
,Active,Wave Smith Co,0.00,0.00,,,,,,Wave Smith Co,,,,,,,,,,,,,,,
,Active,Wawa,0.00,0.00,,,,,,Wawa,,,,,,,,,,,,,,,
,Active,WAWA 8602 0000000000MECHANICSVI,0.00,0.00,,,,,,WAWA 8602 0000000000MECHANICSVI,,,,,,,,,,,,,,,
,Active,Websters LLC,0.00,0.00,Websters LLC,,,,,Websters LLC,104 N. Macon Ter,"Ashland, VA  23005-1222",,,,,,,,,,,,,
,Active,West Store,0.00,0.00,,,,,,West Store,,,,,,,,,,,,,,,
,Active,Whitten Brothers,0.00,0.00,,,,,,Whitten Brothers,,,,,,,,,,,,,,,
,Active,William Marshall,0.00,0.00,William Marshall,,,,,William Marshall,2206 ELLISVILLE DR,"LOUISA, VA 23093",,,,,,,,,,804-314-8923,,,
,Active,William N Marshall,0.00,0.00,William N Marshall,,,,,William N Marshall,2206 Ellisville Dr,"Louisa, VA 23093",,,William N Marshall,2206 Ellisville Dr,"Louisa, VA 23093",,,,,804-314-8923,,,
,Active,Williams Brothers Tree Service,0.00,0.00,,,,,,Williams Brothers Tree Service,54 Kerry Ln,"Stauton, Va 24401",,,,,,,,,,,,,
,Active,WILLIAMSON DICKIE MFFORT WORTH,0.00,0.00,,,,,,WILLIAMSON DICKIE MFFORT WORTH,,,,,,,,,,,,,,,
,Active,Window Tint Specialists,0.00,0.00,,,,,,Window Tint Specialists,,,,,,,,,,,,,,,
,Active,Wise Choice,0.00,0.00,,,,,,Wise Choice,,,,,,,,,,,,,,,
,Active,Woodfin Watchcard,0.00,0.00,,,,,,Woodfin Watchcard,,,,,,,,,,,,,,,
,Active,"World Fuel Services, Inc",0.00,0.00,"World Fuel Services, Inc",,,,,"World Fuel Services, Inc.",62297 Collections Center Drive,"Chicago, IL 60693",,,,,,,,,,,,,
,Active,WW Grainger,0.00,0.00,,,,,,WW Grainger,,,,,,,,,,,,,,,
,Active,WW Granger,0.00,0.00,,,,,,WW Granger,,,,,,,,,,,,,,,
,Active,Yard Works,0.00,0.00,,,,,,Yard Works,,,,,,,,,,,,,,,
,Active,Yellow Pages,0.00,0.00,,,,,,Yellow Pages,,,,,,,,,,,,,,,
,Active,Zenwork Tax,0.00,0.00,,,,,,Zenwork Tax,,,,,,,,,,,,,,,
,Active,ZiPRecruiter,0.00,0.00,,,,,,ZiPRecruiter,,,,,,,,,,,,,,,
,Active,ZOHO Corporation,0.00,0.00,,,,,,ZOHO Corporation,,,,,,,,,,,,,,,
